,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,Average_Word_Length,Average_Wordlength,Proportion_Words_Longer_Than_Five,Average_Readability_Score,Average_Syllables_Per_Word
465,465,1,1,1,2017_53714,4.393580505,4.393580505,0.23226409899999997,64.56962121,1.3207303259999998
25,25,1,1,1,2013_15045,4.547247024,4.547247024,0.196800595,80.345,1.31547619
517,517,1,1,1,2016_85033,4.315165588,4.315165588,0.216575656,68.3770777,1.301340555
615,615,1,1,1,2014_85705,4.451181102,4.451181102,0.350393701,78.975,1.27992126
544,544,1,1,1,2013_85053,4.295514168,4.295514168,0.217160422,55.06643885,1.2903056640000001
276,276,1,1,1,2013_29730,4.281743106,4.281743106,0.20977925100000003,66.38056604,1.279980992
224,224,1,1,1,2014_28206,4.320788942,4.320788942,0.21863200000000002,59.2018931,1.29318528
591,591,1,1,1,2014_85323,4.259780911,4.259780911,0.21436113,59.58510759,1.294514694
619,619,0,1,1,2015_89015,4.300222869,4.300222869,0.217871223,68.12936198,1.2902853220000001
471,471,0,1,1,2016_61801,4.420042595,4.420042595,0.236239817,68.99865017,1.316653908
139,139,0,1,1,2016_15214,4.429936143,4.429936143,0.24919708899999998,51.61666667,1.3499878669999998
595,595,1,1,1,2013_85335,4.297290566,4.297290566,0.216859721,53.34628571,1.299199975
611,611,0,1,1,2014_85363,4.305784044,4.305784044,0.22739786,60.56090909,1.3021587270000001
14,14,1,1,1,2013_15025,4.3240908860000005,4.3240908860000005,0.21805482399999998,5.556842105,1.300117969
79,79,1,1,1,2013_15132,4.078500092,4.078500092,0.189474007,41.581,1.245306621
379,379,0,1,1,2016_44125,4.400626728,4.400626728,0.236030834,64.83486014,1.319659346
624,624,0,1,1,2014_89101,4.311525934,4.311525934,0.220122194,57.28938816,1.2909112090000001
565,565,1,1,1,2013_85208,4.276454497,4.276454497,0.215580181,62.66413043,1.29051324
154,154,1,1,1,2016_16502,4.0625695219999995,4.0625695219999995,0.18800064100000002,88.756,1.233207771
445,445,1,1,1,2013_44320,4.395282007,4.395282007,0.22575476100000003,60.055,1.305888565
571,571,1,1,1,2014_85281,4.319381609,4.319381609,0.22157061399999997,62.09758891,1.2976993000000001
238,238,1,1,1,2013_28213,4.353117582,4.353117582,0.223313508,54.545825,1.297508429
247,247,1,1,1,2016_28215,4.338693475,4.338693475,0.218785619,69.54438944,1.303075192
11,11,0,1,1,2016_15003,4.416656771,4.416656771,0.233114778,65.94338983,1.301435903
512,512,1,1,1,2016_85031,4.31286381,4.31286381,0.21719666399999998,70.59914894,1.302355002
625,625,0,1,1,2015_89101,4.35105976,4.35105976,0.22313936899999998,62.79488194,1.300381883
484,484,0,1,1,2016_61866,4.361170087,4.361170087,0.221837354,72.4702439,1.305309861
629,629,1,1,1,2014_89102,4.3029111769999995,4.3029111769999995,0.21040511399999998,63.135188600000006,1.2814166390000001
639,639,1,1,1,2014_89106,4.275478958,4.275478958,0.21902860899999999,58.00371668,1.295459855
244,244,1,1,1,2013_28215,4.323149774,4.323149774,0.21414551,50.27195652,1.295849337
188,188,1,1,1,2014_28081,4.526614961,4.526614961,0.247637178,69.71269231,1.329817643
108,108,1,1,1,2015_15147,4.455485614,4.455485614,0.237533921,65.11628571,1.3313877379999999
470,470,1,1,1,2015_61801,4.458030248,4.458030248,0.22939589999999999,63.89720745,1.312246733
532,532,0,1,1,2016_85041,4.318596309,4.318596309,0.21803947899999998,67.39943182,1.298532073
265,265,0,1,1,2017_28658,4.537256595,4.537256595,0.298402378,48.40666667,1.4437162330000002
31,31,1,1,1,2013_15063,4.345087433,4.345087433,0.22212119,76.36285714,1.3238909840000002
222,222,1,1,1,2016_28205,4.380655245,4.380655245,0.22818719,67.24759458,1.304675692
332,332,1,1,1,2014_44106,4.421956405,4.421956405,0.24059477699999998,59.37706116,1.326038372
189,189,0,1,1,2015_28081,4.42444413,4.42444413,0.224210858,68.76698413,1.30984526
622,622,0,1,1,2013_89032,4.260714281,4.260714281,0.209470118,56.27576216,1.279754284
514,514,0,1,1,2013_85033,4.26150629,4.26150629,0.20887812,62.73363636,1.27557686
103,103,1,1,1,2015_15145,4.273688618,4.273688618,0.20306884600000003,66.87235294,1.280173679
129,129,1,1,1,2016_15210,4.377569445,4.377569445,0.230253846,61.82710407,1.314476351
400,400,1,1,1,2013_44135,4.308201261000001,4.308201261000001,0.232190055,53.48937158,1.293296607
221,221,1,1,1,2015_28205,4.37680436,4.37680436,0.22812657100000003,65.10516606,1.303001979
322,322,0,1,1,2014_44104,4.264344444,4.264344444,0.231406246,79.76,1.235600523
82,82,0,1,1,2016_15132,4.4513667880000005,4.4513667880000005,0.22728793,71.29651515,1.3184240740000002
546,546,1,1,1,2015_85053,4.328223624,4.328223624,0.220064375,64.51608917,1.300584822
456,456,0,1,1,2013_53713,4.32591124,4.32591124,0.226702373,44.57297688,1.295721794
579,579,1,1,1,2017_85301,4.354616807,4.354616807,0.223338395,66.40959531,1.309825643
66,66,0,1,1,2013_15120,4.299379786,4.299379786,0.22362661399999997,46.13194737,1.296062169
211,211,1,1,1,2013_28127,4.381049394,4.381049394,0.24191663300000002,66.155,1.353841504
654,654,1,1,1,2014_89115,4.268187268,4.268187268,0.21410259899999998,54.0248125,1.292414316
507,507,0,1,1,2015_85023,4.293788218,4.293788218,0.215299915,62.56568893,1.294528015
173,173,1,1,1,2014_28034,4.402825622,4.402825622,0.247824679,69.72047619,1.30417409
303,303,0,1,1,2016_44053,4.396788525,4.396788525,0.233387158,62.62082474,1.323562492
85,85,0,1,1,2015_15133,4.382675754,4.382675754,0.232006307,79.29,1.279296733
478,478,0,1,1,2015_61820,4.419811957,4.419811957,0.227888673,66.40337992,1.308511935
479,479,0,1,1,2016_61820,4.459177568,4.459177568,0.234530707,67.49245353,1.3196672409999999
526,526,0,1,1,2015_85037,4.295782129,4.295782129,0.21545303300000002,68.31108761,1.298120254
409,409,0,1,1,2017_44137,4.27885373,4.27885373,0.21296518,48.765,1.296110368
369,369,1,1,1,2016_44120,4.399297701,4.399297701,0.23881709199999998,63.30498645,1.3212673590000001
491,491,1,1,1,2013_85008,4.268145345,4.268145345,0.221445355,49.51200185,1.2907020340000002
111,111,1,1,1,2013_15148,4.28575323,4.28575323,0.216751584,33.34428571,1.276097489
394,394,1,1,1,2014_44132,4.334129268,4.334129268,0.219259051,64.2996875,1.278924482
608,608,1,1,1,2014_85353,4.269221342,4.269221342,0.210722973,64.72053968,1.287911512
527,527,0,1,1,2016_85037,4.339043964,4.339043964,0.223361516,69.49518564,1.309366929
697,697,1,1,1,2016_92703,4.247811712,4.247811712,0.223728652,73.545,1.311878598
368,368,0,1,1,2015_44120,4.415403041,4.415403041,0.240527414,58.69587413,1.32310848
245,245,1,1,1,2014_28215,4.299848627,4.299848627,0.214839967,62.73314815,1.2974689240000001
6,6,1,1,1,2015_12958,5.019230769,5.019230769,0.288461538,88.02,1.326923077
236,236,0,1,1,2016_28212,4.34544308,4.34544308,0.226349196,62.56102632,1.311659856
414,414,1,1,1,2013_44144,4.318538546,4.318538546,0.21960276399999998,42.52836879,1.2964624359999999
416,416,1,1,1,2015_44144,4.336690954,4.336690954,0.21945593,62.79234667,1.29279974
187,187,1,1,1,2013_28081,4.4400045530000005,4.4400045530000005,0.24899812,61.6248,1.318490266
35,35,0,1,1,2014_15067,4.176470588,4.176470588,0.235294118,79.77,1.3529411759999999
355,355,0,1,1,2017_44112,4.273539453,4.273539453,0.211329872,55.72206897,1.292848045
280,280,1,1,1,2017_29730,4.353329958,4.353329958,0.2219176,67.07477723,1.30336566
680,680,0,1,1,2016_89146,4.365218929,4.365218929,0.214967413,68.10713066,1.299055552
618,618,1,1,1,2014_89015,4.257669165,4.257669165,0.213089928,59.35570307,1.285656573
483,483,1,1,1,2015_61866,4.307247015,4.307247015,0.213213945,63.01649123,1.293506748
549,549,0,1,1,2013_85201,4.28610357,4.28610357,0.218245843,54.89854626,1.289555444
383,383,1,1,1,2015_44127,4.312335535,4.312335535,0.216334112,78.79285714,1.305534736
